                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.80492,                0.36195,                0.81702,                0.61063,                0.57808,                0.52238,                0.31278,                 1.3359,                  1.374,                0.89594,               0.004159,               0.004159,               0.004159
                     61,                0.80058,                0.36013,                0.81657,                0.61068,                0.57766,                0.52212,                0.31254,                 1.3368,                 1.3763,                0.89626,                0.00406,                0.00406,                0.00406
                     62,                0.79634,                0.35847,                0.81596,                0.61018,                0.57752,                0.52196,                0.31242,                 1.3379,                 1.3786,                0.89658,               0.003961,               0.003961,               0.003961
                     63,                0.79001,                 0.3557,                0.81496,                0.61135,                 0.5776,                0.52201,                0.31229,                 1.3397,                 1.3798,                0.89698,               0.003862,               0.003862,               0.003862
                     64,                0.78422,                0.35301,                0.81429,                0.61156,                0.57759,                0.52191,                0.31216,                 1.3414,                 1.3806,                0.89739,               0.003763,               0.003763,               0.003763
                     65,                0.77897,                 0.3513,                0.81377,                0.61115,                0.57817,                0.52257,                0.31252,                 1.3431,                 1.3805,                0.89782,               0.003664,               0.003664,               0.003664
                     66,                0.77407,                0.34969,                0.81334,                0.61187,                0.57802,                0.52191,                0.31185,                 1.3444,                 1.3816,                0.89817,               0.003565,               0.003565,               0.003565
                     67,                0.77002,                0.34775,                 0.8128,                0.61188,                 0.5779,                0.52255,                 0.3123,                 1.3456,                 1.3829,                0.89847,               0.003466,               0.003466,               0.003466
                     68,                0.76459,                0.34526,                0.81229,                0.61222,                0.57722,                0.52208,                0.31201,                 1.3474,                 1.3843,                0.89889,               0.003367,               0.003367,               0.003367
                     69,                0.75988,                0.34322,                0.81139,                0.61207,                0.57763,                0.52216,                0.31189,                  1.349,                 1.3844,                0.89925,               0.003268,               0.003268,               0.003268
                     70,                0.75288,                0.34081,                0.81051,                0.61244,                0.57724,                0.52219,                0.31176,                 1.3502,                 1.3857,                0.89961,               0.003169,               0.003169,               0.003169
                     71,                0.74742,                0.33896,                0.80988,                0.61293,                0.57715,                0.52223,                0.31175,                 1.3515,                 1.3869,                0.89995,                0.00307,                0.00307,                0.00307
                     72,                0.74259,                0.33692,                0.80963,                0.61322,                0.57729,                0.52241,                0.31162,                 1.3528,                 1.3881,                0.90022,               0.002971,               0.002971,               0.002971
                     73,                0.73936,                0.33551,                0.80925,                 0.6134,                0.57753,                0.52275,                0.31174,                 1.3543,                 1.3898,                0.90058,               0.002872,               0.002872,               0.002872
                     74,                0.73271,                0.33266,                0.80829,                0.61439,                0.57744,                0.52327,                0.31191,                 1.3555,                 1.3908,                0.90083,               0.002773,               0.002773,               0.002773
                     75,                0.72731,                0.33134,                0.80795,                0.61466,                0.57745,                0.52361,                0.31209,                 1.3571,                 1.3932,                0.90118,               0.002674,               0.002674,               0.002674
                     76,                0.72364,                0.33009,                0.80757,                 0.6146,                0.57753,                0.52384,                0.31217,                 1.3587,                 1.3949,                0.90157,               0.002575,               0.002575,               0.002575
                     77,                0.71631,                0.32688,                0.80663,                0.61441,                0.57768,                0.52432,                0.31239,                 1.3606,                 1.3966,                0.90199,               0.002476,               0.002476,               0.002476
                     78,                0.71116,                0.32468,                0.80626,                0.61473,                0.57748,                0.52491,                0.31268,                 1.3617,                 1.3957,                0.90233,               0.002377,               0.002377,               0.002377
                     79,                0.70715,                0.32288,                0.80553,                 0.6138,                0.57783,                0.52524,                 0.3129,                 1.3633,                 1.3976,                0.90274,               0.002278,               0.002278,               0.002278
                     80,                0.70272,                 0.3209,                0.80531,                0.61498,                0.57769,                0.52564,                0.31292,                 1.3646,                 1.3979,                0.90308,               0.002179,               0.002179,               0.002179
                     81,                0.69778,                  0.319,                0.80519,                0.61558,                0.57759,                0.52611,                0.31299,                 1.3661,                 1.3995,                0.90348,                0.00208,                0.00208,                0.00208
                     82,                0.69165,                0.31674,                0.80413,                0.61528,                0.57761,                 0.5266,                0.31315,                 1.3677,                  1.401,                0.90385,               0.001981,               0.001981,               0.001981
                     83,                0.68583,                0.31425,                0.80358,                0.61475,                0.57753,                0.52701,                0.31327,                 1.3694,                 1.4029,                0.90428,               0.001882,               0.001882,               0.001882
                     84,                0.68241,                0.31299,                0.80304,                0.61524,                 0.5771,                0.52748,                0.31339,                 1.3707,                  1.404,                0.90464,               0.001783,               0.001783,               0.001783
                     85,                0.67705,                0.31104,                0.80284,                0.61514,                0.57643,                0.52767,                0.31328,                 1.3724,                 1.4058,                0.90513,               0.001684,               0.001684,               0.001684
                     86,                0.67237,                0.30925,                0.80214,                0.61458,                0.57655,                 0.5277,                0.31317,                  1.374,                 1.4064,                 0.9056,               0.001585,               0.001585,               0.001585
                     87,                 0.6672,                0.30696,                0.80134,                0.61433,                0.57637,                 0.5279,                0.31307,                  1.376,                 1.4072,                0.90611,               0.001486,               0.001486,               0.001486
                     88,                0.66128,                0.30485,                 0.8007,                0.61423,                0.57557,                0.52802,                0.31304,                 1.3781,                 1.4095,                0.90665,               0.001387,               0.001387,               0.001387
                     89,                0.65539,                0.30222,                 0.8003,                0.61457,                0.57511,                0.52822,                0.31296,                 1.3799,                 1.4112,                0.90715,               0.001288,               0.001288,               0.001288
                     90,                 0.6668,                 0.3054,                0.80185,                 0.6136,                0.57484,                0.52776,                 0.3126,                 1.3814,                 1.4157,                0.90771,               0.001189,               0.001189,               0.001189
                     91,                0.64333,                0.29577,                0.80052,                0.61289,                0.57448,                0.52723,                0.31196,                  1.383,                 1.4198,                0.90838,                0.00109,                0.00109,                0.00109
                     92,                0.63184,                0.29222,                0.79899,                0.61251,                0.57386,                 0.5266,                0.31135,                 1.3849,                 1.4237,                0.90913,               0.000991,               0.000991,               0.000991
                     93,                0.62276,                0.28855,                0.79799,                0.61176,                0.57394,                0.52641,                0.31087,                 1.3872,                 1.4275,                0.90994,               0.000892,               0.000892,               0.000892
                     94,                0.61668,                0.28691,                0.79707,                0.61192,                0.57364,                0.52633,                 0.3104,                 1.3895,                 1.4318,                0.91073,               0.000793,               0.000793,               0.000793
                     95,                0.60956,                0.28401,                0.79639,                0.61133,                0.57331,                0.52599,                0.30991,                 1.3918,                 1.4353,                0.91159,               0.000694,               0.000694,               0.000694
                     96,                0.60185,                0.28072,                 0.7959,                 0.6101,                0.57282,                0.52538,                 0.3093,                 1.3941,                 1.4395,                0.91244,               0.000595,               0.000595,               0.000595
                     97,                0.59503,                 0.2783,                0.79498,                0.61016,                0.57249,                0.52525,                0.30895,                 1.3963,                 1.4446,                0.91325,               0.000496,               0.000496,               0.000496
                     98,                0.58944,                0.27591,                0.79427,                0.61005,                0.57194,                0.52497,                0.30847,                 1.3985,                 1.4489,                0.91411,               0.000397,               0.000397,               0.000397
                     99,                0.58365,                0.27379,                0.79371,                0.60877,                0.57188,                0.52465,                0.30795,                 1.4007,                 1.4531,                0.91494,               0.000298,               0.000298,               0.000298
                    100,                0.57759,                0.27101,                0.79324,                0.60886,                0.57139,                0.52447,                 0.3076,                 1.4029,                 1.4578,                0.91574,               0.000199,               0.000199,               0.000199
